time_hours,weather,satellite_longitude_deg,satellite_latitude_deg,satellite_radius_km,uplink_range_km,downlink_range_km,uplink_elevation_deg,downlink_elevation_deg,uplink_FSPL_dB,downlink_FSPL_dB,uplink_rain_attenuation_dB,downlink_rain_attenuation_dB,downlink_Tsys_K,uplink_Eb_N0_dB,downlink_Eb_N0_dB,combined_Eb_N0_dB_noise_only,combined_margin_dB_noise_only,combined_Eb_NI_dB,combined_margin_dB_with_interference,uplink_ASI_C_I_dB,downlink_ASI_C_I_dB,IMD_C_I_dB,BER_with_interference_uncoded,BER_with_interference_with_coding_gain,shannon_capacity_with_interference_Mbps,shannon_capacity_margin_with_interference_Mbps
2717.0,uplink: clear; downlink: clear,12.993120954482325,-0.03973623441738853,42168.58603034512,37666.64973126544,37830.4690806436,41.55619381250397,39.4002898961443,206.89170058355518,205.5904594485637,0.16866617236099063,0.08781018198997957,132.74704855681355,13.90638621204485,14.689624203347023,11.270072279554682,4.270072279554682,10.799131168702225,3.7991311687022247,25.59795118665351,15.682783603435839,30.0,4.7165780309343356e-07,2.16719967512705e-12,76.22451906897334,66.22451906897334
2718.0,uplink: clear; downlink: clear,12.977888625139792,-0.037184746584774574,42178.74091657347,37676.51479880937,37840.84372425389,41.56094063142583,39.3983640303816,206.89397515986167,205.5928411439951,0.00846814224216814,0.06598170464636327,131.38938403540857,14.064309665857166,14.753716958312282,11.385047966956122,4.385047966956122,10.901904658747362,3.9019046587473625,25.595628516934354,15.68036582218941,30.0,3.4981124411888874e-07,1.206496942616983e-12,77.17288717204747,67.17288717204747
2719.0,uplink: clear; downlink: clear,12.964171364500546,-0.0320853644603616,42187.88575699963,37685.16568224091,37849.96348190396,41.5683262885133,39.39949847258814,206.8959692931827,205.5949342174285,0.09166497780660893,0.015494261340991966,128.22212785614394,13.97911869697171,14.908084296913017,11.408510271852833,4.408510271852833,10.922482119352747,3.922482119352747,25.591718221285213,15.676366533576244,30.0,3.292214261957532e-07,1.071227470218885e-12,77.36338483716072,67.36338483716072
2720.0,uplink: clear; downlink: clear,12.952909077587254,-0.024787497084140575,42195.39394827517,37692.00954304278,37857.20340511612,41.577846766421985,39.4036164326516,206.89754656162262,205.5965954914343,0.02474002356665937,0.024186615450386695,128.76942546791366,14.04446638277173,14.879232886360285,11.431523950150861,4.431523950150861,10.942585736975264,3.942585736975264,25.587246507341565,15.671818041248462,30.0,3.1019327600902257e-07,9.53221722892663e-13,77.54969250382116,67.54969250382116
2721.0,uplink: clear; downlink: clear,12.944873454922902,-0.01579119343688465,42200.7510300514,37696.57733477652,37862.067325359225,41.58885223823791,39.41043754964106,206.89859911709766,205.59771138898827,0.15701662405620162,0.1406599475052068,136.0052101981041,13.911137226807142,14.52421577682179,11.196567242825935,4.196567242825935,10.73166821797825,3.7316682179782497,25.583410561128442,15.667922827080913,30.0,5.717797618602129e-07,3.1600433913566293e-12,75.60478808003374,65.60478808003374
2722.0,uplink: clear; downlink: clear,12.940615096390454,-0.005712879145111549,42203.5899357397,37698.555970620604,37864.22187567492,41.60059091701074,39.41949661780083,206.89905501423124,205.5982056476259,0.12173051908491808,0.03464424895701894,129.4248202108624,13.94596743464487,14.845116973093752,11.362014054628872,4.362014054628872,10.879806616848175,3.8798066168481746,25.581256543804358,15.665731164571302,30.0,3.7324356784714766e-07,1.369999043183898e-12,76.9685399412691,66.9685399412691
2723.0,uplink: clear; downlink: clear,12.940425784196158,0.0047568809275379325,42203.71614386923,37697.809803576325,37863.519357643105,41.61225994719192,39.43017487736159,206.89888309282543,205.59804449151602,0.05486541737499328,0.1393159257770491,135.91991744643926,14.013004457760587,14.527951135130138,11.252550098086957,4.252550098086957,10.781730127722891,3.7817301277228914,25.581397031107073,15.66585824661864,30.0,4.958049906310124e-07,2.389936031945514e-12,76.06445543303633,66.06445543303633
2724.0,uplink: clear; downlink: clear,12.944318489988428,0.014900700100350701,42201.12100667438,37694.38994011518,37860.0078801968,41.6230600178952,39.44174188299306,206.89809509203167,205.59723892139272,0.03362000674653466,0.07813972586529137,132.14022916879748,14.035037869182815,14.71241336937237,11.350232620557279,4.3502326205572786,10.869524041667265,3.8695240416672654,25.583843925273413,15.668316896174577,30.0,3.8463417756067486e-07,1.4531455942226554e-12,76.87353432812509,66.87353432812509
2725.0,uplink: clear; downlink: clear,12.95202648604209,0.024023525123238625,42195.98234263861,37688.53074395826,37853.928070595466,41.632250063384944,39.45340522305406,206.89674485696972,205.5958439719777,0.09755225530191611,0.04177459239134571,129.86741063854657,13.97245585568939,14.825522194511024,11.367777126733216,4.367777126733216,10.88565311996241,3.8856531199624094,25.588001847896784,15.672510894877208,30.0,3.669068715291457e-07,1.3247816997399655e-12,77.02258136992586,67.02258136992586
2726.0,uplink: clear; downlink: clear,12.96302162140951,0.03150026114049507,42188.65225239366,37680.63376805226,37845.69658094162,41.6391983216502,39.46436477201573,206.89492468921574,205.59395498477858,0.14510478125059795,0.004372355578409598,127.51000258020235,13.926723497494663,14.944372687559849,11.395508831828948,4.395508831828948,10.910960813982125,3.9109608139821255,25.592824018898938,15.677390939755046,30.0,3.406072351242205e-07,1.1450567750215171e-12,77.25670021050246,67.25670021050246
